bin	chrom	chromStart	chromEnd	name	score	strand	otherChrom	otherStart	otherEnd	otherSize	uid	posBasesHit	testResult	verdict	chits	ccov	alignfile	alignL	indelN	indelS	alignB	matchB	mismatchB	transitionsB	transversionsB	fracMatch	fracMatchIndel	jcK	k2K
586	chr19	252840	259081	chr1:257666	0	+	chr1	257666	265770	8104	21304	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065170	8246	24	2147	6099	5815	284	183	101	0.953435	0.949698	0.0480733	0.0482504
586	chr19	253503	257704	chr5:15398	0	+	chr5	15398	19535	4137	21868	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065255	4222	17	106	4116	3908	208	126	82	0.949466	0.94556	0.0523176	0.0524794
586	chr19	253503	259081	chr17:83231426	0	-	chr17	83231426	83236859	5433	19826	1000	N/A	N/A	N/A	N/A	align_both/0012/both0061651	5594	22	177	5417	5175	242	142	100	0.955326	0.951462	0.04606	0.0461679
586	chr19	253503	259081	chr1:349720	0	+	chr1	349720	355152	5432	21305	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065171	5589	21	168	5421	5174	247	152	95	0.954436	0.950753	0.0470063	0.0471455
586	chr19	253503	259081	chr6:170738786	0	-	chr6	170738786	170744227	5441	21899	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065269	5601	24	183	5418	5168	250	152	98	0.953858	0.949651	0.047623	0.0477585
586	chr19	253503	259373	chr10:133769453	0	-	chr10	133769453	133775193	5740	5213	1000	N/A	N/A	N/A	N/A	align_both/0001/both0009935	5878	19	146	5732	5538	194	110	84	0.966155	0.962963	0.0346325	0.0346837
586	chr19	253503	259397	chr22:50789820	0	-	chr22	50789820	50795573	5753	21747	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065221	5905	22	163	5742	5568	174	96	78	0.969697	0.965996	0.0309322	0.0309677
586	chr19	253504	259396	chr4:17625	0	+	chr4	17625	24488	6863	21821	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065236	6957	33	1159	5798	5445	353	215	138	0.939117	0.933802	0.0634967	0.0637441
586	chr19	253504	259396	chr4:190101796	0	-	chr4	190101796	190114947	13151	21822	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065254	13240	32	7437	5803	5443	360	219	141	0.937963	0.932819	0.0647535	0.0650098
586	chr19	253601	257968	chr1:248929950	0	-	chr1	248929950	248934207	4257	21306	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065212	4377	16	130	4247	4077	170	100	70	0.959972	0.956369	0.041136	0.0412225
586	chr19	254172	258480	chr8:215767	0	+	chr8	215767	219879	4112	21985	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065423	4329	21	238	4091	3885	206	121	85	0.949646	0.944796	0.0521245	0.0522643
586	chr19	254242	259397	chr16:90223314	0	-	chr16	90223314	90228345	5031	16013	1000	N/A	N/A	N/A	N/A	align_both/0010/both0053855	5174	22	162	5012	4759	253	153	100	0.949521	0.945371	0.0522579	0.0524182
586	chr19	255626	258805	chr14:106880460	0	-	chr14	106880460	106883159	2699	10684	1000	N/A	N/A	N/A	N/A	align_both/0006/both0034439	3198	17	518	2680	2556	124	66	58	0.953731	0.94772	0.0477574	0.0478291
586	chr19	256103	259397	chr8:60004	0	+	chr8	60004	63246	3242	21986	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065424	3304	12	72	3232	3055	177	101	76	0.945235	0.941739	0.0568673	0.0570134
586	chr19	256745	259380	chr18:98796	0	+	chr18	98796	101414	2618	20841	1000	N/A	N/A	N/A	N/A	align_both/0012/both0062536	2658	11	63	2595	2435	160	89	71	0.938343	0.934382	0.0643395	0.0645061
587	chr19	298416	299790	chr19:299793	0	+	chr19	299793	301173	1380	21352	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065156	1390	10	26	1364	1302	62	10	52	0.954545	0.947598	0.0468903	0.0469425
589	chr19	613245	617150	chr15:30224482	0	+	chr15	30224482	30226240	1758	13085	1000	N/A	N/A	N/A	N/A	align_both/0007/both0039439	2130	6	371	1759	1678	81	57	24	0.953951	0.950708	0.0475232	0.047768
589	chr19	613245	617150	chr15:32312448	0	-	chr15	32312448	32314206	1758	13086	1000	N/A	N/A	N/A	N/A	align_both/0008/both0040191	2130	6	371	1759	1679	80	56	24	0.95452	0.951275	0.0469178	0.0471515
592	chr19	973174	975923	chr9:42287205	0	-	chr9	42287205	42290001	2796	22010	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065497	2822	28	99	2723	2466	257	155	102	0.905619	0.896401	0.10087	0.101495
592	chr19	973174	975923	chr9:66830007	0	+	chr9	66830007	66832802	2795	22011	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065503	2822	28	100	2722	2473	249	155	94	0.908523	0.899273	0.0975552	0.098223
592	chr19	973176	975923	chr9:39532497	0	-	chr9	39532497	39535289	2792	22012	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065494	2819	28	99	2720	2472	248	155	93	0.908824	0.899563	0.0972131	0.0978875
599	chr19	1876976	1878169	chr15:23225649	0	+	chr15	23225649	23226874	1225	13083	1000	N/A	N/A	N/A	N/A	align_both/0007/both0038032	1236	12	54	1182	1085	97	53	44	0.917936	0.90871	0.086911	0.0871964
599	chr19	1876976	1880085	chr15:28454622	0	+	chr15	28454622	28457776	3154	13084	1000	N/A	N/A	N/A	N/A	align_both/0007/both0038954	3175	25	87	3088	2837	251	151	100	0.918718	0.91134	0.0860335	0.0864751
599	chr19	1876976	1880093	chr16:32726384	0	+	chr16	32726384	32729538	3154	15998	1000	N/A	N/A	N/A	N/A	align_both/0009/both0048803	3168	22	65	3103	2831	272	164	108	0.912343	0.90592	0.0932174	0.0937454
599	chr19	1876976	1880093	chr16:33140869	0	-	chr16	33140869	33144023	3154	15999	1000	N/A	N/A	N/A	N/A	align_both/0009/both0049248	3168	22	65	3103	2832	271	163	108	0.912665	0.90624	0.0928525	0.0933706
599	chr19	1876976	1881805	chr22:22114624	0	+	chr22	22114624	22118244	3620	21748	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065522	3725	16	108	3617	3527	90	59	31	0.975118	0.970823	0.0253046	0.0253559
599	chr19	1876977	1881802	chr22:20667596	0	+	chr22	20667596	20671201	3605	21749	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065520	3733	17	143	3590	3479	111	73	38	0.969081	0.964513	0.0315746	0.0316561
599	chr19	1876977	1881805	chr1:214605456	0	+	chr1	214605456	214609079	3623	21307	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065518	3723	12	102	3621	3515	106	70	36	0.970726	0.96752	0.0298603	0.0299343
599	chr19	1876978	1881805	chr17:20840807	0	-	chr17	20840807	20844479	3672	19808	1000	N/A	N/A	N/A	N/A	align_both/0011/both0056956	3684	7	36	3648	3573	75	48	27	0.979441	0.977565	0.0208463	0.0208776
599	chr19	1876978	1881805	chr1:148146156	0	-	chr1	148146156	148149788	3632	21308	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065516	3721	6	90	3631	3591	40	28	12	0.988984	0.987352	0.011098	0.0111105
599	chr19	1876982	1880093	chr16:32199900	0	-	chr16	32199900	32203042	3142	15997	1000	N/A	N/A	N/A	N/A	align_both/0009/both0048404	3162	22	71	3091	2824	267	160	107	0.91362	0.907164	0.0917724	0.0922696
621	chr19	4791734	4795548	chr18:14390223	0	-	chr18	14390223	14394029	3806	20844	1000	N/A	N/A	N/A	N/A	align_both/0012/both0063246	3839	9	58	3781	3570	211	136	75	0.944195	0.941953	0.0579906	0.0582515
621	chr19	4791734	4795554	chr21:6897166	0	+	chr21	6897166	6900989	3823	21707	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065588	3837	7	31	3806	3598	208	131	77	0.945349	0.943614	0.056744	0.0569705
621	chr19	4791734	4795554	chr21:13762214	0	+	chr21	13762214	13766037	3823	21708	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065589	3837	7	31	3806	3601	205	129	76	0.946138	0.944401	0.0558943	0.0561131
621	chr19	4791734	4795554	chr13:18665113	0	+	chr13	18665113	18668936	3823	9607	1000	N/A	N/A	N/A	N/A	align_both/0004/both0023822	3844	11	45	3799	3600	199	132	67	0.947618	0.944882	0.0543014	0.0545573
622	chr19	4886716	4888872	chr19:4883936	0	+	chr19	4883936	4886651	2715	21357	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065597	2732	8	593	2139	1969	170	119	51	0.920524	0.917094	0.0840107	0.0847915
628	chr19	5664734	5668478	chr11:122616535	0	+	chr11	122616535	122619466	2931	6818	1000	N/A	N/A	N/A	N/A	align_both/0003/both0016726	3769	16	863	2906	2707	199	126	73	0.931521	0.92642	0.0718096	0.072187
629	chr19	5831431	5832790	chr19:5843697	0	+	chr19	5843697	5845062	1365	21358	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065615	1371	3	18	1353	1235	118	77	41	0.912786	0.910767	0.0927153	0.0934451
629	chr19	5843697	5845062	chr19:5831431	0	+	chr19	5831431	5832790	1359	21358	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065615	1371	3	18	1353	1235	118	77	41	0.912786	0.910767	0.0927153	0.0934451
629	chr19	5863334	5864595	chr19:5876603	0	+	chr19	5876603	5877848	1245	21359	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065616	1277	11	48	1229	1125	104	64	40	0.915378	0.907258	0.089788	0.0903217
629	chr19	5876603	5877848	chr19:5863334	0	+	chr19	5863334	5864595	1261	21359	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065616	1277	11	48	1229	1125	104	64	40	0.915378	0.907258	0.089788	0.0903217
634	chr19	6494358	6496222	chrX:123561918	0	-	chrX	123561918	123563798	1880	22201	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065686	1890	6	36	1854	1713	141	110	31	0.923948	0.920968	0.0801899	0.0812376
634	chr19	6495203	6496210	chr16:89934739	0	-	chr16	89934739	89935746	1007	16008	1000	N/A	N/A	N/A	N/A	align_both/0010/both0053821	1007	0	0	1007	934	73	37	36	0.927507	0.927507	0.0762395	0.0763836
634	chr19	6495206	6496213	chr6:3153908	0	+	chr6	3153908	3154915	1007	21900	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065667	1007	0	0	1007	935	72	33	39	0.9285	0.9285	0.075141	0.0752137
634	chr19	6495206	6496213	chr6:3224796	0	+	chr6	3224796	3225803	1007	21901	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065669	1007	0	0	1007	936	71	32	39	0.929494	0.929494	0.0740441	0.0741063
637	chr19	6896657	6897776	chr19:6897803	0	+	chr19	6897803	6898912	1109	21360	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065688	1139	3	50	1089	1049	40	27	13	0.963269	0.960623	0.0376609	0.0377904
637	chr19	6897803	6898912	chr19:6896657	0	+	chr19	6896657	6897776	1119	21360	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065688	1139	3	50	1089	1049	40	27	13	0.963269	0.960623	0.0376609	0.0377904
638	chr19	7018679	7052022	chr19:7018679	0	-	chr19	7018679	7052022	33343	21361	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065689	33601	52	516	33085	32690	395	146	249	0.988061	0.986511	0.012035	0.0120351
644	chr19	7740475	7742403	chr5:112891676	0	+	chr5	112891676	112893356	1680	21869	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065734	2026	17	444	1582	1427	155	104	51	0.902023	0.892433	0.104995	0.106056
645	chr19	7878617	7880232	chr6:33364722	0	+	chr6	33364722	33366354	1632	21902	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065742	1633	5	19	1614	1518	96	72	24	0.94052	0.937616	0.0619707	0.062505
651	chr19	8735219	8738539	chr19:8790872	0	-	chr19	8790872	8794192	3320	21363	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065800	3350	16	60	3290	3053	237	138	99	0.927964	0.923472	0.0757348	0.0760262
651	chr19	8736834	8746033	chr19:8746033	0	+	chr19	8746033	8753497	7464	21365	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065802	9224	12	1785	7439	7247	192	96	96	0.97419	0.972621	0.0262645	0.0262793
651	chr19	8736834	8757735	chr19:8760953	0	+	chr19	8760953	8778939	17986	21364	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065801	20925	20	2963	17962	17707	255	125	130	0.985803	0.984707	0.0143327	0.0143366
81	chr19	8778939	8790250	chr19:8752415	0	+	chr19	8752415	8763522	11107	21367	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065804	11350	16	282	11068	10804	264	126	138	0.976147	0.974738	0.0242401	0.0242495
652	chr19	8786393	8790250	chr19:8778939	0	+	chr19	8778939	8782587	3648	21371	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065809	3888	12	271	3617	3385	232	110	122	0.935858	0.932764	0.0670515	0.0671241
652	chr19	8790868	8792578	chr19:8746033	0	-	chr19	8746033	8747759	1726	21366	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065803	1731	8	26	1705	1544	161	76	85	0.905572	0.901343	0.100924	0.101091
652	chr19	8790868	8792578	chr19:8753497	0	-	chr19	8753497	8755213	1716	21368	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065805	1726	8	26	1700	1552	148	70	78	0.912941	0.908665	0.0925402	0.0926808
652	chr19	8790868	8792578	chr19:8760953	0	-	chr19	8760953	8762669	1716	21369	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065806	1726	8	26	1700	1552	148	70	78	0.912941	0.908665	0.0925402	0.0926808
652	chr19	8790868	8792578	chr19:8774709	0	-	chr19	8774709	8776422	1713	21370	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065808	1726	9	29	1697	1547	150	70	80	0.911609	0.9068	0.0940492	0.0941819
652	chr19	8790868	8792578	chr19:8780020	0	-	chr19	8780020	8781734	1714	21372	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065810	1726	8	28	1698	1546	152	73	79	0.910483	0.906213	0.0953265	0.0954921
652	chr19	8790872	8794192	chr19:8735219	0	-	chr19	8735219	8738539	3320	21363	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065800	3350	16	60	3290	3053	237	138	99	0.927964	0.923472	0.0757348	0.0760262
658	chr19	9607417	9611337	chr5:54857358	0	-	chr5	54857358	54860481	3123	21870	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066006	3972	17	901	3071	2855	216	146	70	0.929665	0.924547	0.0738553	0.0743767
658	chr19	9650971	9661502	chr19:9688843	0	+	chr19	9688843	9696913	8070	21373	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065986	10739	58	2877	7862	7142	720	435	285	0.90842	0.901768	0.0976724	0.0982604
658	chr19	9688843	9696913	chr19:9650971	0	+	chr19	9650971	9661502	10531	21373	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065986	10739	58	2877	7862	7142	720	435	285	0.90842	0.901768	0.0976724	0.0982604
658	chr19	9688857	9691392	chr19:9722363	0	+	chr19	9722363	9725203	2840	21374	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065987	2850	13	325	2525	2301	224	137	87	0.911287	0.906619	0.0944138	0.0949914
658	chr19	9688859	9691237	chr5:54857396	0	-	chr5	54857396	54859772	2376	21871	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066008	2388	7	22	2366	2166	200	120	80	0.915469	0.912769	0.0896857	0.090162
659	chr19	9722363	9725203	chr19:9688857	0	+	chr19	9688857	9691392	2535	21374	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065987	2850	13	325	2525	2301	224	137	87	0.911287	0.906619	0.0944138	0.0949914
659	chr19	9722368	9725051	chr5:54857391	0	-	chr5	54857391	54859769	2378	21872	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066009	2695	13	329	2366	2154	212	133	79	0.910397	0.905422	0.0954237	0.0960826
674	chr19	11665720	11667089	chr16:51645758	0	-	chr16	51645758	51647131	1373	16001	1000	N/A	N/A	N/A	N/A	align_both/0010/both0052587	1373	2	4	1369	1353	16	13	3	0.988313	0.986871	0.0117794	0.0118036
674	chr19	11665723	11667089	chr7:87521401	0	-	chr7	87521401	87522765	1364	21959	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066142	1379	11	28	1351	1246	105	76	29	0.92228	0.914831	0.0820489	0.0828906
674	chr19	11665731	11667054	chr1:240919628	0	-	chr1	240919628	240920958	1330	21309	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066102	1333	4	13	1320	1237	83	54	29	0.937121	0.93429	0.0656719	0.0660226
674	chr19	11665731	11667061	chr6:5608888	0	+	chr6	5608888	5610229	1341	21903	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066131	1347	7	23	1324	1257	67	45	22	0.949396	0.944403	0.0523923	0.0526421
674	chr19	11665731	11667090	chr5:80358740	0	+	chr5	80358740	80360100	1360	21873	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066128	1361	3	3	1358	1316	42	30	12	0.969072	0.966936	0.0315836	0.031696
674	chr19	11665733	11667019	chr9:4944336	0	+	chr9	4944336	4945893	1557	22013	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066147	1597	7	351	1246	1175	71	51	20	0.943018	0.937749	0.0592633	0.0596797
674	chr19	11665733	11667045	chr11:74354427	0	-	chr11	74354427	74356063	1636	6811	1000	N/A	N/A	N/A	N/A	align_both/0002/both0014949	1641	7	334	1307	1228	79	59	20	0.939556	0.934551	0.0630187	0.0635635
674	chr19	11665733	11667063	chr15:65815914	0	+	chr15	65815914	65817537	1623	13093	1000	N/A	N/A	N/A	N/A	align_both/0008/both0042516	1648	8	343	1305	1206	99	59	40	0.924138	0.918507	0.0799789	0.0803422
674	chr19	11665733	11667067	chrX:100887298	0	+	chrX	100887298	100888628	1330	22203	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066152	1336	5	8	1328	1259	69	50	19	0.948042	0.944486	0.0538453	0.0541982
674	chr19	11665733	11667073	chr2:41156551	0	-	chr2	41156551	41157894	1343	21629	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066105	1346	5	9	1337	1246	91	61	30	0.931937	0.928465	0.0713518	0.0718214
674	chr19	11665733	11667088	chr8:141459016	0	-	chr8	141459016	141460372	1356	21987	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066146	1366	7	21	1345	1259	86	60	26	0.936059	0.931213	0.0668317	0.0673103
674	chr19	11665733	11667089	chr18:32411876	0	+	chr18	32411876	32413235	1359	20845	1000	N/A	N/A	N/A	N/A	align_both/0012/both0064262	1359	2	3	1356	1333	23	15	8	0.983038	0.981591	0.0171564	0.0171793
674	chr19	11665734	11666828	chr8:82291290	0	+	chr8	82291290	82292384	1094	21988	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066144	1095	2	2	1093	1071	22	18	4	0.979872	0.978082	0.0204031	0.020478
674	chr19	11665734	11667068	chr3:39334937	0	-	chr3	39334937	39336275	1338	21778	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066113	1339	4	6	1333	1251	82	57	25	0.938485	0.935677	0.0641852	0.0646193
674	chr19	11665734	11667089	chr2:201063029	0	-	chr2	201063029	201064386	1357	21630	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066111	1357	2	2	1355	1318	37	29	8	0.972694	0.97126	0.0278158	0.027937
674	chr19	11665735	11667067	chr4:73938275	0	+	chr4	73938275	73939601	1326	21823	1000	N/A	N/A	N/A	N/A	align_both/0013/both0066124	1333	5	8	1325	1247	78	62	16	0.941132	0.937594	0.0613067	0.0619467
